Level7,Codes
A1-Small gaze shift,A1-Small gaze shift
A1-Large gaze shift,A1-Large gaze shift
A1-Bringing head closer ,A1-Bringing head closer 
A1-Taking a step back ,A1-Taking a step back 
A1-Looking around ,A1-Looking around 
A1-Looking away,A1-Looking away
A2-Shaking,A2-Shaking
A2-Rotation,A2-Rotation
A2-Relative bimanual shifts  ,A2-Relative bimanual shifts  
A2-Bringing part closer ,A2-Bringing part closer 
A2-Push part away,A2-Push part away
A2-Slow hesitant movements,A2-Slow hesitant movements
A3-Empty-handed pause ,A3-Empty-handed pause 
A3-Full-handed pause ,A3-Full-handed pause 
B1-Reaching toward wrong piece,B1-Reaching toward wrong piece
B1-Retracting from wrong reach ,B1-Retracting from wrong reach 
B1-Retracting from right reach ,B1-Retracting from right reach 
B1-Retracting from wrong contact,B1-Retracting from wrong contact
B1-Retracting from right contact,B1-Retracting from right contact
B2-Reaching with wrong orientation ,B2-Reaching with wrong orientation 
B2-Retracting with right piece ,B2-Retracting with right piece 
B3-Grasp wrong piece,B3-Grasp wrong piece
B3-Erroneous intermediate state ,B3-Erroneous intermediate state 
B3-Inconvenient intermediate state ,B3-Inconvenient intermediate state 
B4-Erroneous intermediate state ,B4-Erroneous intermediate state 
B4-Inconvenient intermediate state ,B4-Inconvenient intermediate state 
B5-Grasp wrong tool ,B5-Grasp wrong tool 
B5-Missing useful tool ,B5-Missing useful tool 
